"Total Number of Words Containing and Related to ""[Ff]ried"" in Whole Text",
Occurrences,Term
26,frieden
20,friede
9,friedens
8,friedlich
4,zufrieden
2,friedvoll
2,friedfertig
2,friedenswerk
2,friedenserfüllt
2,befriedigt
1,überfriedlichkeit
1,wiederbefriedeten
1,unfrieden
1,unbefriedigt
1,traumfriedens
1,traumfrieden
1,traumfriede
1,selbstbefriedigungsspiel
1,sehnsuchtsfrieden
1,friedsam
1,friedlichen
1,friedenszeit
1,friedenssoldat
1,friedensordnung
1,friedensatem
1,befriedung
1,befriedigung
1,befriedigend
1,befriedigen
96,TOTAL (Tm)
