"Terms Containing and Related to ""[Rr]uh"" Appearing within 50 Words of “[Nn][aä]cht”",,
Portion of All Occurrences,Occurrences,Term
100.00%,1,aufruhte
100.00%,1,beruhi
100.00%,1,beunruhigter
100.00%,1,gestaltenruhe
100.00%,1,hineinruhend
100.00%,1,leisruhig
100.00%,1,ruheflimmernd
100.00%,1,ruhehauch
100.00%,1,ruhelager
100.00%,1,überruhe
100.00%,1,umruhenden
75.00%,3,beruhigender
50.00%,3,unruhe
50.00%,2,ruhigen
50.00%,1,beruhigte
50.00%,1,ruh
50.00%,1,ruhender
50.00%,1,ruhige
40.00%,6,ruht
40.00%,4,ruhenden
40.00%,2,beruhigt
37.50%,6,ruhte
33.33%,2,ruhende
33.33%,1,beunruhigt
25.00%,5,ruhen
25.00%,1,ruhendes
20.00%,1,beunruhigend
17.86%,5,ruhend
14.29%,8,ruhe
12.50%,1,beruhigung
,65,TOTAL (Tf)
