"Total Number of Words Containing and Related to ""[Ll]eer"" in Whole Text",
Occurrences,Term
53,leere
21,leeren
13,leer
9,leerheit
4,leeres
4,entleert
3,leerer
3,geleert
2,leerform
1,wissensleerheit
1,weltenleere
1,vergessenheitsleere
1,todesleere
1,sphärenleer
1,sinnentleerte
1,schönheitsentleerten
1,prunkgaleere
1,luftleeren
1,luftleere
1,leerste
1,leerheitsumschlingung
1,leerheitsraum
1,leerheitin
1,leereder
1,leerdämmernden
1,leeraum
1,lahdschaftsleere
1,gesetzesentleerten
1,furchtleere
1,erkenntnisleer
1,erkenntnisentleerten
1,entleertheit
1,allleerheit
136,TOTAL (Tm)
