"Total Number of Words Containing and Related to ""[Tt]r[äa]um"" in Whole Text",
Occurrences,Term
47,traum
35,traumes
21,traume
5,träumende
4,träumte
4,träumenden
4,traumlos
4,traumhaft
4,traumgewölbes
4,traumgewölbe
3,traumgrenze
2,wahrtraum
2,träumer
2,träumen
2,träume
2,traumwissen
2,traumsein
2,traumleuchten
2,traumform
2,traumestrauer
2,traumesstimme
2,traumerinnerung
2,gastraum
1,zurückträumen
1,zugeträumt
1,zeiträumlich
1,weiträumigwelträumig
1,vorwärtsgeträumt
1,vorträumen
1,vorgeträumt
1,verträumtheit
1,verträumt
1,träumt
1,träumerei
1,träumens
1,träumendes
1,träumend
1,traumzersprengung
1,traumwurzeln
1,traumwissend
1,traumwerkzeug
1,traumwachen
1,traumwach
1,traumverlorenen
1,traumtod
1,traumte
1,traumstrahlung
1,traumstimmliche
1,traumstark
1,traumsonne
1,traumsichtbarkeit
1,traumseins
1,traumschweben
1,traumsatten
1,traumrufen
1,traumpunkt
1,traumnichts
1,traumloslichte
1,traumleise
1,traumlachen
1,traumkrähen
1,traumkaltes
1,traumhaftigkeit
1,traumgezeiten
1,traumgewölben
1,traumgeschöpfe
1,traumgefunkel
1,traumgefilde
1,traumgebunden
1,traumgeboren
1,traumganzheit
1,traumfriedens
1,traumfrieden
1,traumfriede
1,traumfreiheit
1,traumfernes
1,traumfernen
1,traumeswunsch
1,traumesverschränkungen
1,traumesunabsehbarkeiten
1,traumesschritt
1,traumespforte
1,traumeslang
1,traumeskurz
1,traumeskraft
1,traumeshoffnung
1,traumesgröße
1,traumesgebot
1,traumesgebannte
1,traumesferne
1,traumesenthoben
1,traumesauge
1,traumerscheinungen
1,traumdämmernde
1,traumdurchtränkendes
1,traumblind
1,traumbefehl
1,traumatmend
1,schönheitsverträumter
1,schattentraum
1,nachtraum
1,landschaftsträumende
1,hinträumte
1,hinträumend
1,hineinträumten
1,hinausgeträumt
1,geträumten
1,geträumtaber
1,festräumen
1,enträumlicht
1,ehrgeizträume
1,aberfesträumen
248,TOTAL (Tm)
